# indices,1k
1.000000000000000000e+00,1.996002000000001927e-03
2.000000000000000000e+00,3.990007998000050932e-03
3.000000000000000000e+00,5.982017994000035123e-03
4.000000000000000000e+00,7.972031987999957103e-03
5.000000000000000000e+00,9.960049980000034581e-03
6.000000000000000000e+00,1.194607197000004811e-02
7.000000000000000000e+00,1.393009795799999770e-02
8.000000000000000000e+00,1.591212794399999783e-02
9.000000000000000000e+00,1.789216192800003810e-02
1.000000000000000000e+01,1.987019991000002136e-02
1.100000000000000000e+01,2.184624189000004477e-02
1.200000000000000000e+01,2.382028786800000769e-02
1.300000000000000000e+01,2.579233784400001422e-02
1.400000000000000000e+01,2.776239181799996375e-02
1.500000000000000000e+01,2.973044978999995688e-02
1.600000000000000000e+01,3.169651175999999709e-02
1.700000000000000000e+01,3.366057772799996989e-02
1.800000000000000000e+01,3.562264769399998976e-02
1.900000000000000000e+01,3.758272165799995262e-02
2.000000000000000000e+01,3.954079961999995563e-02
2.100000000000000000e+01,4.149688157999999877e-02
2.200000000000000000e+01,4.345096753799999184e-02
2.300000000000000000e+01,4.540305749400002505e-02
2.400000000000000000e+01,4.735315144799999432e-02
2.500000000000000000e+01,4.930124940000001760e-02
2.600000000000000000e+01,5.124735134999996305e-02
2.700000000000000000e+01,5.319145729799996253e-02
2.800000000000000000e+01,5.513356724400001602e-02
2.900000000000000000e+01,5.707368118799999862e-02
3.000000000000000000e+01,5.901179913000002830e-02
3.100000000000000000e+01,6.094792106999998710e-02
3.200000000000000000e+01,6.288204700800001379e-02
3.300000000000000000e+01,6.481417694399994878e-02
3.400000000000000000e+01,6.674431087799993778e-02
3.500000000000000000e+01,6.867244880999998080e-02
3.600000000000000000e+01,7.059859073999996681e-02
3.700000000000000000e+01,7.252273666799999297e-02
3.800000000000000000e+01,7.444488659399994823e-02
3.900000000000000000e+01,7.636504051799995751e-02
4.000000000000000000e+01,7.828319844000002081e-02
4.100000000000000000e+01,8.019936036000001323e-02
4.200000000000000000e+01,8.211352627800003190e-02
4.300000000000000000e+01,8.402569619400000744e-02
4.400000000000000000e+01,8.593587010800002313e-02
4.500000000000000000e+01,8.784404801999998180e-02
4.600000000000000000e+01,8.975022992999999449e-02
4.700000000000000000e+01,9.165441583800004732e-02
4.800000000000000000e+01,9.355660574400002927e-02
4.900000000000000000e+01,9.545679964799995421e-02
5.000000000000000000e+01,9.735499755000003030e-02
5.100000000000000000e+01,9.925119945000004940e-02
5.200000000000000000e+01,1.011454053479999837e-01
5.300000000000000000e+01,1.030376152439999859e-01
5.400000000000000000e+01,1.049278291380000283e-01
5.500000000000000000e+01,1.068160470300000137e-01
5.600000000000000000e+01,1.087022689200000392e-01
5.700000000000000000e+01,1.105864948080000076e-01
5.800000000000000000e+01,1.124687246940000163e-01
5.900000000000000000e+01,1.143489585779999679e-01
6.000000000000000000e+01,1.162271964599999596e-01
6.100000000000000000e+01,1.181034383399999915e-01
6.200000000000000000e+01,1.199776842179999664e-01
6.300000000000000000e+01,1.218499340939999953e-01
6.400000000000000000e+01,1.237201879679999533e-01
6.500000000000000000e+01,1.255884458399999515e-01
6.600000000000000000e+01,1.274547077100000037e-01
6.700000000000000000e+01,1.293189735780000127e-01
6.800000000000000000e+01,1.311812434440000341e-01
6.900000000000000000e+01,1.330415173080000124e-01
7.000000000000000000e+01,1.348997951700000308e-01
7.100000000000000000e+01,1.367560770299999784e-01
7.200000000000000000e+01,1.386103628879999661e-01
7.300000000000000000e+01,1.404626527440000494e-01
7.400000000000000000e+01,1.423129465980000063e-01
7.500000000000000000e+01,1.441612444500000312e-01
7.600000000000000000e+01,1.460075463000000129e-01
7.700000000000000000e+01,1.478518521480000070e-01
7.800000000000000000e+01,1.496941619939999857e-01
7.900000000000000000e+01,1.515344758379999490e-01
8.000000000000000000e+01,1.533727936800000080e-01
8.100000000000000000e+01,1.552091155199999961e-01
8.200000000000000000e+01,1.570434413580000244e-01
8.300000000000000000e+01,1.588757711939999817e-01
8.400000000000000000e+01,1.607061050279999792e-01
8.500000000000000000e+01,1.625344428600000446e-01
8.600000000000000000e+01,1.643607846900000113e-01
8.700000000000000000e+01,1.661851305179999627e-01
8.800000000000000000e+01,1.680074803440000375e-01
8.900000000000000000e+01,1.698278341679999581e-01
9.000000000000000000e+01,1.716461919900000022e-01
9.100000000000000000e+01,1.734625538100000308e-01
9.200000000000000000e+01,1.752769196279999608e-01
9.300000000000000000e+01,1.770892894439999310e-01
9.400000000000000000e+01,1.788996632579999968e-01
9.500000000000000000e+01,1.807080410699999362e-01
9.600000000000000000e+01,1.825144228799999713e-01
9.700000000000000000e+01,1.843188086880000187e-01
9.800000000000000000e+01,1.861211984940000508e-01
9.900000000000000000e+01,1.879215922979999565e-01
1.000000000000000000e+02,1.897199900999999578e-01
1.010000000000000000e+02,1.915163918999999715e-01
1.020000000000000000e+02,1.933107976980000531e-01
1.030000000000000000e+02,1.951032074939999528e-01
1.040000000000000000e+02,1.968936212880000036e-01
1.050000000000000000e+02,1.986820390800000113e-01
1.060000000000000000e+02,2.004684608700000314e-01
1.070000000000000000e+02,2.022528866580000362e-01
1.080000000000000000e+02,2.040353164440000255e-01
1.090000000000000000e+02,2.058157502280000273e-01
1.100000000000000000e+02,2.075941880100000136e-01
1.110000000000000000e+02,2.093706297899999569e-01
1.120000000000000000e+02,2.111450755680000513e-01
1.130000000000000000e+02,2.129175253439999638e-01
1.140000000000000000e+02,2.146879791179999442e-01
1.150000000000000000e+02,2.164564368899999647e-01
1.160000000000000000e+02,2.182228986600000531e-01
1.170000000000000000e+02,2.199873644280000429e-01
1.180000000000000000e+02,2.217498341939999895e-01
1.190000000000000000e+02,2.235103079579999485e-01
1.200000000000000000e+02,2.252687857200000032e-01
1.210000000000000000e+02,2.270252674799999593e-01
1.220000000000000000e+02,2.287797532379999554e-01
1.230000000000000000e+02,2.305322429940000473e-01
1.240000000000000000e+02,2.322827367480000127e-01
1.250000000000000000e+02,2.340312344999999628e-01
1.260000000000000000e+02,2.357777362500000362e-01
1.270000000000000000e+02,2.375222419979999833e-01
1.280000000000000000e+02,2.392647517440000260e-01
1.290000000000000000e+02,2.410052654880000533e-01
1.300000000000000000e+02,2.427437832299999820e-01
1.310000000000000000e+02,2.444803049699999786e-01
1.320000000000000000e+02,2.462148307080000431e-01
1.330000000000000000e+02,2.479473604439999812e-01
1.340000000000000000e+02,2.496778941780000427e-01
1.350000000000000000e+02,2.514064319100000056e-01
1.360000000000000000e+02,2.531329736399999808e-01
1.370000000000000000e+02,2.548575193680000517e-01
1.380000000000000000e+02,2.565800690940000517e-01
1.390000000000000000e+02,2.583006228179999808e-01
1.400000000000000000e+02,2.600191805400000056e-01
1.410000000000000000e+02,2.617357422600000705e-01
1.420000000000000000e+02,2.634503079780000090e-01
1.430000000000000000e+02,2.651628776939999876e-01
1.440000000000000000e+02,2.668734514080000619e-01
1.450000000000000000e+02,2.685820291200000098e-01
1.460000000000000000e+02,2.702886108299999424e-01
1.470000000000000000e+02,2.719931965380000261e-01
1.480000000000000000e+02,2.736957862440000389e-01
1.490000000000000000e+02,2.753963799479999808e-01
1.500000000000000000e+02,2.770949776499999628e-01
1.510000000000000000e+02,2.787915793499999850e-01
1.520000000000000000e+02,2.804861850479999918e-01
1.530000000000000000e+02,2.821787947440000388e-01
1.540000000000000000e+02,2.838694084379999594e-01
1.550000000000000000e+02,2.855580261299999756e-01
1.560000000000000000e+02,2.872446478200000319e-01
1.570000000000000000e+02,2.889292735080000729e-01
1.580000000000000000e+02,2.906119031939999320e-01
1.590000000000000000e+02,2.922925368780000532e-01
1.600000000000000000e+02,2.939711745599999926e-01
1.610000000000000000e+02,2.956478162399999721e-01
1.620000000000000000e+02,2.973224619179999917e-01
1.630000000000000000e+02,2.989951115939999959e-01
1.640000000000000000e+02,3.006657652679999848e-01
1.650000000000000000e+02,3.023344229399999583e-01
1.660000000000000000e+02,3.040010846099999720e-01
1.670000000000000000e+02,3.056657502779999702e-01
1.680000000000000000e+02,3.073284199440000086e-01
1.690000000000000000e+02,3.089890936080000317e-01
1.700000000000000000e+02,3.106477712699999838e-01
1.710000000000000000e+02,3.123044529300000871e-01
1.720000000000000000e+02,3.139591385879999530e-01
1.730000000000000000e+02,3.156118282440000256e-01
1.740000000000000000e+02,3.172625218980000827e-01
1.750000000000000000e+02,3.189112195500000135e-01
1.760000000000000000e+02,3.205579211999999845e-01
1.770000000000000000e+02,3.222026268480000510e-01
1.780000000000000000e+02,3.238453364939999912e-01
1.790000000000000000e+02,3.254860501380000271e-01
1.800000000000000000e+02,3.271247677799999920e-01
1.810000000000000000e+02,3.287614894199999971e-01
1.820000000000000000e+02,3.303962150580000423e-01
1.830000000000000000e+02,3.320289446940000166e-01
1.840000000000000000e+02,3.336596783279999756e-01
1.850000000000000000e+02,3.352884159600000302e-01
1.860000000000000000e+02,3.369151575900000140e-01
1.870000000000000000e+02,3.385399032179999823e-01
1.880000000000000000e+02,3.401626528439999908e-01
1.890000000000000000e+02,3.417834064680000949e-01
1.900000000000000000e+02,3.434021640900000172e-01
