# indices, advantage
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.750000000000000000e-01
3.000000000000000000e+00,5.925925925925927817e-01
4.000000000000000000e+00,7.031250000000000000e-01
5.000000000000000000e+00,7.680000000000002380e-01
6.000000000000000000e+00,8.101851851851853414e-01
7.000000000000000000e+00,8.396501457725948914e-01
8.000000000000000000e+00,8.613281250000000000e-01
9.000000000000000000e+00,8.779149519890259157e-01
1.000000000000000000e+01,8.910000000000001252e-01
0.000000000000000000e+00,0.000000000000000000e+00
